WBIC,dnr_field,dnr_lab,edi,usgs_lab,final_value,datasource,unit
1020600,NA,NA,17,NA,17,edi,us/cm
1022900,22.33333333,34,35,NA,34,dnr_lab,us/cm
1023100,35,NA,12,NA,35,dnr_field,us/cm
1023300,NA,98.58823529,14,NA,98.58823529,dnr_lab,us/cm
1176400,14,17.5,15,16.52,17.5,dnr_lab,us/cm
1176700,NA,NA,19,NA,19,edi,us/cm
1178000,NA,25,38,NA,25,dnr_lab,us/cm
1178900,NA,19,20,NA,19,dnr_lab,us/cm
1179000,NA,14.5,14,NA,14.5,dnr_lab,us/cm
1252300,613.6,NA,NA,NA,613.6,dnr_field,us/cm
1280400,232.697716,265.5180723,NA,NA,265.5180723,dnr_lab,us/cm
1295800,263.8888889,NA,NA,NA,263.8888889,dnr_field,us/cm
1405200,218.0638643,193.2083333,161,NA,193.2083333,dnr_lab,us/cm
1406100,NA,NA,NA,NA,NA,NA,us/cm
1407000,87.4427673,62.6,83,NA,62.6,dnr_lab,us/cm
1467100,51,44,53,NA,44,dnr_lab,us/cm
1468900,NA,50,30,NA,50,dnr_lab,us/cm
1469100,NA,85.83333333,156,NA,85.83333333,dnr_lab,us/cm
1481600,NA,79.33333333,73,NA,79.33333333,dnr_lab,us/cm
1483700,NA,NA,290,NA,290,edi,us/cm
1487800,NA,32.5,35,NA,32.5,dnr_lab,us/cm
1488400,19,27,26,NA,27,dnr_lab,us/cm
1513800,70,76,95,NA,76,dnr_lab,us/cm
1516800,89.8,84,NA,NA,84,dnr_lab,us/cm
1517200,73,76,66,NA,76,dnr_lab,us/cm
1517900,77,90.5,94,NA,90.5,dnr_lab,us/cm
1522400,50,59.5,58,NA,59.5,dnr_lab,us/cm
1522900,NA,88,86,NA,88,dnr_lab,us/cm
1523500,82.75,89.84210526,109,NA,89.84210526,dnr_lab,us/cm
1523600,99.8,95.82352941,102,NA,95.82352941,dnr_lab,us/cm
1523800,98,NA,118,NA,98,dnr_field,us/cm
1526600,58.5,NA,80,NA,58.5,dnr_field,us/cm
1527800,80,62.55,70,NA,62.55,dnr_lab,us/cm
1537800,110,134,117,NA,134,dnr_lab,us/cm
1538000,114,NA,81,107,114,dnr_field,us/cm
1538600,62,NA,60,NA,62,dnr_field,us/cm
1538900,92,NA,116,NA,92,dnr_field,us/cm
1539600,102.2,110,89,NA,110,dnr_lab,us/cm
1540400,100,126,84,NA,126,dnr_lab,us/cm
1542300,160,95.08695652,92,116,95.08695652,dnr_lab,us/cm
1542400,234.2513924,111.74,86,117,111.74,dnr_lab,us/cm
1542700,88,86.96551724,106,NA,86.96551724,dnr_lab,us/cm
1545300,123.6666667,143.8333333,120,119.3,143.8333333,dnr_lab,us/cm
1547700,NA,NA,53,NA,53,edi,us/cm
1555500,130.25,117.625,76,NA,117.625,dnr_lab,us/cm
1558400,NA,47.86666667,41,NA,47.86666667,dnr_lab,us/cm
1564400,76,85,98,NA,85,dnr_lab,us/cm
1564600,94.8,NA,125,NA,94.8,dnr_field,us/cm
1573800,50,NA,51,NA,50,dnr_field,us/cm
1574300,54,NA,55,NA,54,dnr_field,us/cm
1575700,66,59,62,NA,59,dnr_lab,us/cm
1579700,43,44.23529412,44,NA,44.23529412,dnr_lab,us/cm
1586600,NA,NA,47,NA,47,edi,us/cm
1586800,NA,57.77272727,78,NA,57.77272727,dnr_lab,us/cm
