FID,TNMID,GNIS_ID,AreaAcres,AreaSqKm,States,HUC8,Name,Ha,Pct_In_NWI,Ha_In_NWI,LAT,Lon,ZoneID
226,{27673E58-E5A0-4570-82D7-900A233D822B},0.000000000000000,818459.000000000000000,3312.258264319999900,MN,07010205,South Fork Crow,331225.826614000020000,100.000000000000000,331225.826609999990000,44.893939193400001,-94.440099384000007,HU8_342
227,{07B7F654-765A-49EA-AC50-C3E904F85464},0.000000000000000,644813.000000000000000,2609.522802880000200,MN,07010206,Twin Cities,260952.280472000010000,100.000000000000000,260952.280319999990000,45.039869666599998,-93.250181682800005,HU8_343
228,{29555744-E3BF-47A3-9A8B-D4779C4D86EA},0.000000000000000,1014533.000000000000000,4105.757946769999800,MN,07010207,Rum,410575.794929000030000,100.000000000000000,410575.794770999990000,45.820673249599999,-93.548749511099999,HU8_344
229,{6F20501B-5182-4552-BEE3-072F55B7F1B8},0.000000000000000,559953.000000000000000,2266.099776110000200,MN,07020002,Pomme De Terre,226609.977902999990000,100.000000000000000,226609.977706000010000,45.759734442599999,-95.926695735099997,HU8_362
230,{E971B9AC-F439-4C20-86E8-B837E57A3BE1},0.000000000000000,1332533.000000000000000,5392.687898279999900,MN,07020004,Hawk-Yellow Medicine,539268.789607999960000,99.991880978500006,539225.006546000020000,44.758440843000002,-95.566663626700006,HU8_345
231,{9B05C6C0-4643-49FF-ADC8-EEF5481302C7},0.000000000000000,1329889.000000000000000,5381.987596439999800,MN,07020005,Chippewa,538198.759687999960000,100.000000000000000,538198.759666000030000,45.467297093500001,-95.541235281699997,HU8_346
232,{EAB869A2-65BF-414B-8FD6-A1F95D4A5DE6},0.000000000000000,447329.000000000000000,1810.315766510000000,MN,07020006,Redwood,181031.576972999990000,100.000000000000000,181031.576632999990000,44.406793989800001,-95.791437226699998,HU8_363
233,{65B6A5BA-E94B-4DCA-881E-6A722F17E2FF},0.000000000000000,862225.000000000000000,3489.378198039999900,MN,07020007,Middle Minnesota,348937.819369999980000,100.000000000000000,348937.819712999980000,44.346277133999997,-94.525355721400004,HU8_347
234,{2ABF347A-35C3-49C2-9DA2-92817D5EDCC4},0.000000000000000,840733.000000000000000,3402.399110270000200,MN,07020008,Cottonwood,340239.911469999990000,100.000000000000000,340239.910887999980000,44.243460390300001,-95.290066271399994,HU8_364
235,{BC4B3FAA-4136-4C43-BAC3-5FA457ABDBC5},0.000000000000000,559150.000000000000000,2262.849866080000100,MN,07020010,Watonwan,226284.986244000000000,100.000000000000000,226284.986653000000000,43.973444248299998,-94.662618230999996,HU8_365
