Year,WBIC,level
2009,1867300,993.9977182363185
2010,1867300,1005.285875396111
2011,1867300,998.602459741071
2012,1867300,982.5846594887286
2013,1867300,974.1363858222761
2014,1867300,1001.6570177609889
2015,1867300,1023.4779011331188
1948,195900,1000
1949,195900,979.5660473419529
1950,195900,969.4858865919297
1951,195900,976.9620808984085
1952,195900,959.8949710167583
1953,195900,938.930810422368
1954,195900,946.7154483406844
1955,195900,926.5080439004029
1956,195900,920.6225805823998
1957,195900,904.1366426548717
1958,195900,867.6259435700338
1959,195900,886.4697382558443
1960,195900,886.9053057596906
1961,195900,893.0531961055683
1962,195900,882.8071938167573
1963,195900,864.6663246144429
1964,195900,849.74638162284
1965,195900,872.6544343549092
1966,195900,847.8289109685647
1967,195900,848.5073946790579
1968,195900,858.6135818957707
1969,195900,856.7168613432525
1970,195900,860.1597319119846
1971,195900,865.9435815532722
1972,195900,877.485043468318
1973,195900,892.595958569033
1974,195900,884.7814910609698
1975,195900,881.5864730319711
1976,195900,851.0098186538297
1977,195900,858.0891994227286
1978,195900,872.0634986193609
1979,195900,878.2396459319634
1980,195900,889.3436130521495
1981,195900,879.8227797787326
1982,195900,899.7246951415224
1983,195900,907.0015584141092
1984,195900,928.1551131288093
1985,195900,931.6789936433569
1986,195900,944.3933655391751
1987,195900,931.1129073746137
1988,195900,909.7140668755943
1989,195900,898.1796278172686
1990,195900,910.1617510535679
1991,195900,917.0843987444576
1992,195900,927.2669082868537
1993,195900,948.2536872631082
1994,195900,948.5179062947352
1995,195900,951.5722711917883
1996,195900,954.28418274604
1997,195900,948.9690764492896
1998,195900,942.3523617508868
1999,195900,936.8101825450966
2000,195900,938.33310321527415
2001,195900,940.7562419367432
2002,195900,939.5719511244088
2003,195900,932.9480327134484
2004,195900,942.7837651173452
2005,195900,932.5350098246907
2006,195900,914.378108729793
2007,195900,910.0707619952174
2008,195900,912.6649818675412
2009,195900,903.8213158578963
2010,195900,921.9310624615916
2011,195900,929.6655963720289
2012,195900,908.5353643927716
2013,195900,899.9997833286593
2014,195900,910.5779354345499
2015,195900,921.6438703073325
1948,200300,1000
1949,200300,983.2646979728044
1950,200300,968.8289543299567
1951,200300,973.6986790075792
1952,200300,947.9762886732211
1953,200300,928.7846261233991
1954,200300,933.866433180177
1955,200300,916.1662693033038
1956,200300,904.3631911604896
1957,200300,887.5667155847534
1958,200300,860.3754811559561
1959,200300,875.0441623274999
1960,200300,871.3515451101349
1961,200300,871.9196717867931
1962,200300,863.6428312665241
1963,200300,845.3712205288667
1964,200300,841.4529408131334
1965,200300,861.286246866528
1966,200300,840.8859159487805
1967,200300,843.1428276043902
1968,200300,862.8959280703629
1969,200300,862.9867850917416
1970,200300,866.622373090239
1971,200300,877.900343745377
1972,200300,887.0869184600967
1973,200300,896.5441883479573
1974,200300,880.9502009665958
1975,200300,877.7916084718639
1976,200300,844.6850842510845
1977,200300,850.8428329896851
1978,200300,867.4726146108246
1979,200300,873.2639246243347
1980,200300,879.1574129656037
1981,200300,869.9227852445445
1982,200300,893.4708072600862
1983,200300,900.9318469552471
1984,200300,927.0120481833636
1985,200300,933.3718076361796
1986,200300,945.9104792951385
1987,200300,932.9774629922376
1988,200300,908.0995134097362
1989,200300,895.9736215546295
1990,200300,907.1842572436982
1991,200300,913.529588256281
1992,200300,927.6870287763651
1993,200300,947.1116777563225
1994,200300,946.138283258285
1995,200300,950.8884873637835
1996,200300,953.8485563883454
1997,200300,945.4305297365725
1998,200300,934.2049519430199
1999,200300,925.3978669105218
2000,200300,926.1371159113266
2001,200300,928.0818639947731
2002,200300,939.5787171917259
2003,200300,931.8733282352771
2004,200300,940.8441621177278
2005,200300,933.4593687615113
2006,200300,921.6668063546182
2007,200300,903.7239826805721
2008,200300,900.3339567448102
2009,200300,896.3551822934517
2010,200300,917.7841943546716
2011,200300,934.6845578184683
2012,200300,910.4272783340338
