dat$Date,dat$WBIC,2.5%,50%,97.5%
1990-07-07,1858200,2034.3860912732098,2089.9847283249183,2138.3794912863373
1990-07-08,1858200,2029.096359287025,2084.7492963975174,2133.0157862260203
1990-07-09,1858200,2045.1129066964536,2102.055939754023,2150.581439865205
1990-07-10,1858200,2046.311871209341,2103.5395467166372,2152.1048369636146
1990-07-11,1858200,2044.731140017553,2101.8610028158146,2150.386277719558
1990-07-12,1858200,2041.5485493781687,2098.5427804220544,2147.3287881975107
1990-07-13,1858200,2037.2770068487753,2094.3190599645127,2142.9682968129187
1990-07-14,1858200,2032.5672757156576,2090.04179508968,2138.774504399961
1990-07-15,1858200,2026.2908514787623,2084.020786847492,2132.797830541892
1990-07-16,1858200,2021.2147479460432,2078.52089114502,2127.308007157664
1990-07-17,1858200,2018.3043232271089,2075.6272890920986,2124.378960315462
1990-07-18,1858200,2017.330288737529,2074.634631097169,2123.413583812409
1990-07-19,1858200,2021.6665512264813,2079.1991102760967,2127.8347259715506
1990-07-20,1858200,2017.7132251487642,2075.2134072152658,2123.8624798077853
1990-07-21,1858200,2015.3595134617974,2072.917227915518,2121.546672472522
1990-07-22,1858200,2012.7106029580164,2070.324610256149,2119.1553668194174
1990-07-23,1858200,2008.3690151764272,2065.9918173592782,2114.6433970427743
1990-07-24,1858200,2006.3153740970924,2063.897666697633,2112.4617240991165
1990-07-25,1858200,2001.2032641117585,2059.3207608681196,2107.572899823886
1990-07-26,1858200,1997.2646497947135,2055.3108020884565,2103.6633434421083
1990-07-27,1858200,1998.1018236299428,2056.2319702358886,2104.4363572655416
1990-07-28,1858200,2007.5036979313293,2065.7696782484586,2113.8991968239343
1990-07-29,1858200,2008.541741451084,2066.7497410747364,2114.8518323001763
1990-07-30,1858200,2006.2887893845013,2064.597598275698,2112.5547935943273
1990-07-31,1858200,2006.4370723096629,2064.8423071765787,2112.8380699071513
1990-08-01,1858200,2003.4869014884323,2062.0375260280653,2109.763342791437
1990-08-02,1858200,1999.0155554284124,2057.4311957113805,2104.999186904662
1990-08-03,1858200,1993.9761595818525,2052.2289916912305,2099.976388345925
1990-08-04,1858200,1988.7872590350908,2047.130538130303,2094.808555942501
1990-08-05,1858200,1983.6765346628813,2041.9292440754457,2089.817603682274
1990-08-06,1858200,1983.7154223588607,2041.9351035466352,2089.828764572328
1990-08-07,1858200,1980.3066772077307,2038.59024613336,2086.319785567085
1990-08-08,1858200,1974.304562693439,2032.3667696943508,2080.060462899635
1990-08-09,1858200,1968.7735090133106,2027.1030750884452,2074.516236535453
1990-08-10,1858200,1965.2446719155664,2023.5695715112097,2071.2443550209346
1990-08-11,1858200,1961.5656886785769,2019.8581887031048,2067.5442017734717
1990-08-12,1858200,1956.83143791174,2014.8490344768468,2062.8910757074823
1990-08-13,1858200,1953.7446929428465,2011.934944343589,2059.8748709606584
1990-08-14,1858200,1950.2376535086887,2008.5336979938706,2056.5307153173753
1990-08-15,1858200,1945.9409949923142,2004.6178754871032,2052.280867653384
1990-08-16,1858200,1943.112242084243,2001.93262228623,2049.4355782640514
1990-08-17,1858200,1939.6307370616946,1998.5572432450144,2045.9833901274828
